"Inizio dei report","Fine dei report","Nome della campagna","Pubblicazione della campagna",Risultati,"Indicatore di risultato","Costo per risultati","Budget del gruppo di inserzioni","Tipo di budget del gruppo di inserzioni","Importo speso (EUR)",Impression,Copertura,Frequenza,"CPM (costo per 1000 impression) (EUR)",Acquisti,Fine,"Impostazione di attribuzione","ROAS (ritorno sulla spesa pubblicitaria) relativo agli acquisti","ROAS risultati","Indicatore di valore del risultato","Valore risultati",Visualizzazioni,"CTR (tutti)","Conversioni degli acquisti","Costo per acquisto (EUR)","Aggiunte al carrello","Acquisti promossi dallo shop","Acquisti diretti sul sito web"
2023-04-21,2026-05-21,"TOFU | cold | Add to cart | broad | 27.09 - C",inactive,,,,15,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"TOFU | cold | Add to cart | broad | 27.09 - V",inactive,,,,"Uso del budget del gruppo di inserzioni",0,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"[Branding] Video Cliente Sensibilizzazione Osteoporosi",completed,,,,600,Totale,599.91,246139,153846,1.599905,2.437281,3,2025-10-28,"1 giorno dal clic",0.486906,,,,283799,7.861818,292.1,199.97,12,0,3
2023-04-21,2026-05-21,"[Branding] Traffico pagine social Pubblico Generale Italia 35-65+",completed,,,,600,Totale,596.29,236103,119840,1.970152,2.52555,,2025-12-31,"1 giorno dal clic",,,,,239310,5.792387,,,3,0,0
2023-04-21,2026-05-21,"[Conversione] Retargeting Novembre-Dicembre",inactive,77,actions:offsite_conversion.fb_pixel_purchase,14.90961039,90,Giornaliero,1148.04,166169,38068,4.365057,6.90887,77,"In corso","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",6.639176,6.63917634,action_values:offsite_conversion.fb_pixel_purchase,7622.04,166916,2.860943,7622.04,14.90961,197,0,77
2023-04-21,2026-05-21,"[Conversione] Black Friday",inactive,76,actions:offsite_conversion.fb_pixel_purchase,6.40539474,150,Giornaliero,486.81,48372,11053,4.376368,10.06388,76,2025-12-01,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",16.10994,16.10994022,action_values:offsite_conversion.fb_pixel_purchase,7842.48,48080,4.039527,7842.48,6.405395,174,0,76
2023-04-21,2026-05-21,"[Conversione] Pubblico Broad Dicembre",inactive,14,actions:offsite_conversion.fb_pixel_purchase,17.84,70,Giornaliero,249.76,36952,9016,4.098492,6.759039,14,2025-12-31,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",5.849335,5.84933536,action_values:offsite_conversion.fb_pixel_purchase,1460.93,37576,2.741394,1460.93,17.84,37,0,14
2023-04-21,2026-05-21,"[Conversione] Pubblico Broad Dicembre promo",completed,37,actions:offsite_conversion.fb_pixel_purchase,26.85324324,"Uso del budget del gruppo di inserzioni",0,993.57,176594,27371,6.451865,5.626295,37,2025-12-31,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",3.822328,3.82232757,action_values:offsite_conversion.fb_pixel_purchase,3797.75,173940,2.325107,3797.75,26.853243,194,0,37
2023-04-21,2026-05-21,"[Branding] Traffico pagine social Pubblico Generale Italia 35-65+ Creatività Caroselli",inactive,,,,"Uso del budget del gruppo di inserzioni",0,234.83,132335,71900,1.840542,1.774512,,2026-02-02,"1 giorno dal clic",,,,,133331,7.007972,,,,0,0
2023-04-21,2026-05-21,"[Conversione] Retargeting Gennaio",not_delivering,71,actions:offsite_conversion.fb_pixel_purchase,20.42140845,80,Giornaliero,1449.92,281657,41334,6.814172,5.147822,71,"In corso","7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",5.346702,5.34670189,action_values:offsite_conversion.fb_pixel_purchase,7752.29,282535,1.930717,7752.29,20.421408,142,0,71
2023-04-21,2026-05-21,"[Traffico sito] Osteoporosi: da dove cominciare - Video clienti - Audience advantage",completed,35261,actions:omni_landing_page_view,0.03403137,1200,Totale,1199.98,1034362,460512,2.246113,1.160116,,2026-03-31,"7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,1109403,8.536276,,,,0,0
2023-04-21,2026-05-21,"[Conversione] San Valentino promo Lynup",completed,26,actions:offsite_conversion.fb_pixel_purchase,13.42769231,350,Totale,349.12,57255,11169,5.126242,6.097633,26,2026-02-15,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",7.85578,7.85578025,action_values:offsite_conversion.fb_pixel_purchase,2742.61,55796,3.259104,2742.61,13.427692,186,0,26
2023-04-21,2026-05-21,"[Conversione] Pubblico Broad Febbraio-Marzo",completed,123,actions:offsite_conversion.fb_pixel_purchase,24.4101626,80,Giornaliero,3002.45,614692,58913,10.433894,4.884479,123,2026-03-31,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",4.507699,4.50769871,action_values:offsite_conversion.fb_pixel_purchase,13534.14,613705,2.873146,13534.14,24.410163,300,0,123
2023-04-21,2026-05-21,"Conversione - Promo Pasqua Advantage Audience",inactive,30,actions:offsite_conversion.fb_pixel_purchase,6.61233333,500,Totale,198.37,34633,6422,5.392868,5.727774,30,2026-04-27,"7 giorni dal clic, 1 giorno dalla visualizzazione o 1 giorno dalla visualizzazione con interazione",15.257549,15.25754902,action_values:offsite_conversion.fb_pixel_purchase,3026.64,31575,3.06644,3026.64,6.612333,88,0,30
2023-04-21,2026-05-21,"[Conversione] Aprile 2026 Pubblico Advantage broad",inactive,37,actions:offsite_conversion.fb_pixel_purchase,45.03621622,70,Giornaliero,1666.34,271286,32588,8.324721,6.142374,37,2026-05-14,"7 giorni dal clic",2.717213,2.71721257,action_values:offsite_conversion.fb_pixel_purchase,4527.8,262246,2.839807,4527.8,45.036216,84,0,37
2023-04-21,2026-05-21,"TOFU - Traffico al blog - Alimentazione",inactive,,,,6,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"MOFU - Generazione di contatti - Alimentazione",inactive,,,,3,Giornaliero,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"TOFU | cold | traffico al sito | broad | 21.12.22",inactive,,,,"Uso del budget del gruppo di inserzioni",0,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
2023-04-21,2026-05-21,"WOD 2023 - Broad 4 leve - Visualizzazione di contenuto",not_delivering,,,,"Uso del budget del gruppo di inserzioni",0,0,0,0,0,0,,"In corso","7 giorni dal clic o 1 giorno dalla visualizzazione",,,,,0,0,,,,0,0
